Image Name,Cell ID,X Position,Y Position,Area,Perimeter,Local density
30_01_2024_18.png,15,48,491,3145,178,0
30_01_2024_18.png,16,407,293,466202,3247,0
26_01_2024_05.png,1,25,77,751,100,1
26_01_2024_05.png,2,13,97,612,108,1
26_01_2024_05.png,4,253,298,2925,170,0
26_01_2024_05.png,5,108,302,373,67,0
26_01_2024_05.png,6,39,306,3089,292,0
26_01_2024_05.png,7,406,299,466418,3430,0
26_01_2024_05.png,8,24,511,2240,189,0
30_01_2024_15.png,1,230,307,1299,137,2
30_01_2024_15.png,2,252,313,706,95,3
30_01_2024_15.png,3,311,323,995,117,1
30_01_2024_15.png,4,330,330,639,85,1
30_01_2024_15.png,5,241,355,906,116,4
30_01_2024_15.png,6,253,368,24,24,3
30_01_2024_15.png,7,264,357,933,122,4
30_01_2024_15.png,8,302,375,1663,127,2
30_01_2024_15.png,9,189,405,1850,144,2
30_01_2024_15.png,10,236,416,1581,129,1
30_01_2024_15.png,11,138,420,931,114,1
30_01_2024_15.png,12,145,423,1,1,2
28_01_2024_08.png,1,464,17,2088,165,0
28_01_2024_08.png,2,249,85,1522,144,2
28_01_2024_08.png,3,244,100,66,66,2
28_01_2024_08.png,4,238,111,1021,106,2
28_01_2024_08.png,5,351,98,2508,158,0
28_01_2024_08.png,6,481,97,1170,113,1
28_01_2024_08.png,7,463,114,1218,115,1
28_01_2024_08.png,8,662,107,1356,124,3
28_01_2024_08.png,9,642,106,42,42,3
28_01_2024_08.png,10,659,134,358,70,3
28_01_2024_08.png,11,636,123,1064,111,4
28_01_2024_08.png,12,545,128,1304,120,1
28_01_2024_08.png,13,526,146,1346,121,1
28_01_2024_08.png,14,602,153,2327,156,2
28_01_2024_08.png,15,408,163,2577,159,0
28_01_2024_08.png,16,296,164,2168,147,0
28_01_2024_08.png,17,743,164,1434,124,1
28_01_2024_08.png,18,231,175,1839,135,0
28_01_2024_08.png,19,723,184,1425,124,1
28_01_2024_08.png,20,464,179,2372,153,0
28_01_2024_08.png,21,179,195,1911,137,0
28_01_2024_08.png,22,340,200,1535,146,1
28_01_2024_08.png,23,362,207,867,103,1
28_01_2024_08.png,24,618,200,1242,120,3
28_01_2024_08.png,25,600,217,1306,121,2
28_01_2024_08.png,26,610,209,1,1,2
28_01_2024_08.png,27,549,224,2382,155,0
28_01_2024_08.png,28,490,227,2264,149,1
28_01_2024_08.png,29,167,253,2252,153,0
28_01_2024_08.png,30,117,267,1794,143,0
28_01_2024_08.png,31,557,281,2472,166,1
28_01_2024_08.png,32,334,280,1782,156,1
28_01_2024_08.png,33,358,289,1044,112,2
28_01_2024_08.png,34,469,289,1841,156,7
28_01_2024_08.png,35,489,289,1,1,7
28_01_2024_08.png,36,490,284,82,82,7
28_01_2024_08.png,37,491,289,1,1,7
28_01_2024_08.png,38,492,303,28,28,8
28_01_2024_08.png,39,492,276,30,30,8
28_01_2024_08.png,40,494,303,28,28,8
28_01_2024_08.png,41,508,289,1367,143,8
28_01_2024_08.png,42,715,286,1736,155,1
28_01_2024_08.png,43,739,295,995,109,1
28_01_2024_08.png,44,217,293,2147,150,0
28_01_2024_08.png,45,610,307,2588,160,0
28_01_2024_08.png,46,174,322,2286,151,0
28_01_2024_08.png,47,559,340,3933,266,1
28_01_2024_08.png,48,514,343,2427,167,4
28_01_2024_08.png,49,84,348,2883,169,0
28_01_2024_08.png,50,658,360,2884,169,0
28_01_2024_08.png,51,361,362,1852,139,0
28_01_2024_08.png,52,145,367,1723,133,0
28_01_2024_08.png,53,725,378,2721,169,0
28_01_2024_08.png,54,300,374,823,93,1
28_01_2024_08.png,55,314,390,845,97,3
28_01_2024_08.png,56,456,386,2007,156,0
28_01_2024_08.png,57,592,389,1270,119,1
28_01_2024_08.png,58,525,388,1139,131,4
28_01_2024_08.png,59,574,408,1363,120,3
28_01_2024_08.png,60,525,400,1,1,4
28_01_2024_08.png,61,507,407,287,63,3
28_01_2024_08.png,62,541,422,1868,165,6
28_01_2024_08.png,63,347,411,2007,149,3
28_01_2024_08.png,64,403,410,2381,153,1
28_01_2024_08.png,65,208,427,1929,138,0
28_01_2024_08.png,66,301,429,1714,132,2
28_01_2024_08.png,67,126,430,2683,161,0
28_01_2024_08.png,68,706,425,1524,129,1
28_01_2024_08.png,69,687,444,1476,127,1
28_01_2024_08.png,70,636,439,2573,167,0
28_01_2024_08.png,71,22,447,2105,149,0
28_01_2024_08.png,72,465,456,2149,151,1
28_01_2024_08.png,73,531,452,1297,115,3
28_01_2024_08.png,74,371,447,1615,137,4
28_01_2024_08.png,75,522,462,1,1,3
28_01_2024_08.png,76,582,461,2554,161,0
28_01_2024_08.png,77,350,471,1090,120,3
28_01_2024_08.png,78,512,471,1266,119,4
28_01_2024_08.png,79,409,463,1708,130,1
28_01_2024_08.png,80,84,467,2141,150,1
28_01_2024_08.png,81,183,486,2383,162,1
28_01_2024_08.png,82,274,489,799,106,3
28_01_2024_08.png,83,291,495,525,80,4
